playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name
charlno01,0,51,54,605,37,1,1,97,2698,798,371,70,409,808,27.0,77.0,32.0,9,3845.0,280.0,419,3.0,1.0,3.7127501852999996,Norm Charlton
chaseke01,0,53,84,188,160,62,4,1,3495,1188,553,55,694,582,,53.0,15.0,3,5283.0,18.0,647,,,4.2721030043,Ken Chase
chatwty01,0,20,22,70,61,1,0,1,1026,379,165,32,153,201,11.0,19.0,12.0,1,1504.0,3.0,181,12.0,11.0,4.3421052632,Tyler Chatwood
chaveje01,0,24,38,253,49,0,0,2,1613,560,272,72,187,473,22.0,25.0,15.0,0,2343.0,86.0,295,20.0,18.0,4.5530068196,Jesse Chavez
chechch01,0,33,30,94,63,45,6,3,1818,602,170,10,162,187,,2.0,29.0,0,2479.0,27.0,273,,,2.5247524752,Charlie Chech
cheevvi01,0,26,27,111,56,18,2,2,1376,526,241,28,188,98,,1.0,23.0,1,2035.0,32.0,277,,,4.7289244186,Virgil Cheeves
chenbr01,0,82,81,400,227,4,1,1,4596,1578,786,257,546,1140,40.0,30.0,45.0,3,6619.0,56.0,849,43.0,52.0,4.6174934726,Bruce Chen
chenela01,0,116,100,313,225,132,20,19,5644,1605,564,36,733,926,,119.0,59.0,1,7865.0,63.0,784,,,2.6980864635,Larry Cheney
cheneto01,0,19,29,115,71,13,8,2,1398,382,195,53,245,345,6.0,15.0,6.0,0,1981.0,21.0,224,,,3.7660944206,Tom Cheney
chenwe02,0,46,32,117,117,0,0,0,2120,713,292,97,172,547,4.0,10.0,15.0,1,2954.0,0.0,314,17.0,26.0,3.7188679245,Wei-Yin Chen
chesbja01,0,198,132,392,332,260,35,5,8690,2642,864,39,690,1265,,62.0,113.0,2,12013.0,52.0,1209,,,2.6844649022000002,Jack Chesbro
chesnbo01,0,24,22,61,55,25,1,1,1136,377,196,35,189,130,,12.0,12.0,2,1650.0,1.0,222,,,4.6584507042,Bob Chesnes
chifffl01,0,5,5,81,1,0,0,5,390,132,58,10,60,83,4.0,4.0,4.0,2,573.0,27.0,67,,,4.0153846154,Floyd Chiffer
childro01,0,2,3,61,1,0,0,0,323,121,57,10,37,65,11.0,1.0,1.0,0,467.0,18.0,60,,,4.7647058824,Rocky Childress
